Filename,Anomaly_Score,MSE,SSIM_Delta,Is_Anomaly
tile_21174.npy,0.26436633,0.0020695762,0.52666306,False
tile_32109.npy,0.2643633,0.00045419033,0.5282724,False
tile_20842.npy,0.26435187,0.0018881252,0.52681565,False
tile_17669.npy,0.26428574,0.0022010547,0.5263704,False
tile_25183.npy,0.2642505,0.0020640302,0.5264369,False
tile_21559.npy,0.2642324,0.0020038118,0.526461,False
tile_24908.npy,0.26422718,0.0027102625,0.5257441,False
tile_20161.npy,0.26422578,0.0022139708,0.5262376,False
tile_21036.npy,0.26418006,0.0019012857,0.52645886,False
tile_21417.npy,0.2641639,0.0010110709,0.52731675,False
tile_15853.npy,0.264139,0.002658133,0.52561986,False
tile_28805.npy,0.26409185,0.002383262,0.52580047,False
tile_22740.npy,0.26408467,0.002013644,0.5261557,False
tile_27414.npy,0.26408273,0.0018172057,0.52634823,False
tile_4584.npy,0.26406783,0.0021653837,0.5259703,False
tile_11563.npy,0.26404756,0.002018312,0.5260768,False
tile_4585.npy,0.26401046,0.0018425825,0.52617836,False
tile_30022.npy,0.2639817,0.002065753,0.5258976,False
tile_23870.npy,0.26397052,0.0020616492,0.5258794,False
tile_22478.npy,0.26396704,0.0015962934,0.5263378,False
tile_26219.npy,0.26396146,0.0022031723,0.52571976,False
tile_29860.npy,0.26394123,0.0019129519,0.5259695,False
tile_28148.npy,0.2639233,0.0022146804,0.5256319,False
tile_20044.npy,0.26391938,0.0020305242,0.5258082,False
tile_4274.npy,0.26386824,0.0021404983,0.52559596,False
tile_27385.npy,0.26385912,0.0021547766,0.5255635,False
tile_3030.npy,0.2638491,0.0019492471,0.52574897,False
tile_10235.npy,0.26384756,0.0020296935,0.5256654,False
tile_25851.npy,0.26384196,0.0020254077,0.5256585,False
tile_5510.npy,0.26380616,0.001736632,0.5258757,False
tile_30906.npy,0.26380116,0.00201533,0.52558696,False
tile_16514.npy,0.26377138,0.0018649823,0.5256778,False
tile_19298.npy,0.26377025,0.0021103844,0.52543014,False
tile_19696.npy,0.26375043,0.001796852,0.525704,False
tile_13837.npy,0.26367933,0.002042167,0.5253165,False
tile_26729.npy,0.26365855,0.0018747139,0.5254424,False
tile_13771.npy,0.26365766,0.0017284686,0.52558684,False
tile_7077.npy,0.26362306,0.0018826614,0.52536345,False
